mode,n_rules,n_packets,comp_base_mean,comp_base_std,comp_aflp_mean,comp_aflp_std,time_base_mean_ms,time_base_std_ms,time_aflp_mean_ms,time_aflp_std_ms,comp_improve_pct,time_improve_pct,avg_reorder_count
periodic,11,10000,14.8022,0.0,13.307,0.0024,69.622,9.921,74.104,7.964,10.1,-6.44,10
threshold,11,10000,14.8022,0.0,14.8022,0.0,70.096,5.162,95.114,8.827,0.0,-35.69,0
ondemand,11,10000,14.8022,0.0,13.3053,0.0,74.651,11.438,84.268,14.629,10.11,-12.88,1
periodic,11,100000,14.8076,0.0,13.3152,0.0008,750.347,86.298,808.975,74.122,10.08,-7.81,10
threshold,11,100000,14.8076,0.0,14.8076,0.0,712.1,46.68,930.111,62.328,0.0,-30.62,0
ondemand,11,100000,14.8076,0.0,13.3152,0.0,726.541,51.384,794.281,46.487,10.08,-9.32,1
periodic,51,10000,54.8814,0.0,27.4542,0.0035,112.338,12.151,96.773,13.372,49.98,13.86,10
threshold,51,10000,54.8814,0.0,54.8814,0.0,108.893,8.338,134.632,10.352,0.0,-23.64,0
ondemand,51,10000,54.8814,0.0,36.3085,0.0,110.054,8.002,101.16,9.936,33.84,8.08,1
periodic,51,100000,54.8801,0.0,27.4518,0.0011,1112.11,28.659,920.33,51.17,49.98,17.24,10
threshold,51,100000,54.8801,0.0,54.8801,0.0,1105.024,36.571,1320.614,45.198,0.0,-19.51,0
ondemand,51,100000,54.8801,0.0,36.3019,0.0,1118.974,51.2,1014.6,28.744,33.85,9.33,1
periodic,101,10000,104.898,0.0,40.312,0.0034,159.387,6.587,105.507,7.193,61.57,33.8,10
threshold,101,10000,104.898,0.0,104.898,0.0,165.478,14.887,186.431,18.982,0.0,-12.66,0
ondemand,101,10000,104.898,0.0,62.376,0.0,153.487,9.669,124.422,11.299,40.54,18.94,1
periodic,101,100000,104.894,0.0,40.3012,0.0013,1611.463,57.254,1045.21,57.784,61.58,35.14,10
threshold,101,100000,104.894,0.0,104.894,0.0,1586.692,32.618,1820.698,70.078,0.0,-14.75,0
ondemand,101,100000,104.894,0.0,62.3612,0.0,1584.915,38.535,1261.499,30.78,40.55,20.41,1
periodic,201,10000,204.8968,0.0,63.9891,0.0028,257.658,10.671,130.89,14.747,68.77,49.2,10
threshold,201,10000,204.8968,0.0,204.8968,0.0,256.29,18.064,286.939,24.178,0.0,-11.96,0
ondemand,201,10000,204.8968,0.0,113.1708,0.0,258.01,16.258,178.866,11.867,44.77,30.67,1
periodic,201,100000,204.8929,0.0,63.9827,0.0011,2560.812,66.628,1276.812,56.775,68.77,50.14,10
threshold,201,100000,204.8929,0.0,204.8929,0.0,2590.45,71.741,2805.412,64.991,0.0,-8.3,0
ondemand,201,100000,204.8929,0.0,113.1582,0.0,2570.417,93.255,1792.475,72.703,44.77,30.27,1
